seq,time,pos_press,neg_press,act_pos_ref,act_neg_ref,pos_ctrl,neg_ctrl,act_pos_press,act_neg_press,act_pos_ctrl1,act_pos_ctrl2,act_neg_ctrl1,act_neg_ctrl2,angle,angle_reference,angular_vel,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6
40,0.780339241027832,138.03549194335938,41.805091857910156,101.325,0.0,1.0,1.0,101.32904815673828,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13585090637207,17.023527145385742,0.002682209014892578,0.0,-0.04932284355163574,-0.0769495964050293
41,0.8003430366516113,137.881591796875,41.829341888427734,101.325,0.0,1.0,1.0,101.38174438476562,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.133132934570312,17.019498825073242,0.002682209014892578,0.0,-0.04891157150268555,-0.0764012336730957
42,0.8203587532043457,137.88111877441406,41.83514404296875,101.325,0.0,1.0,1.0,101.55042266845703,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.131643295288086,17.017852783203125,0.002682209014892578,0.0,-0.0489652156829834,-0.07617473602294922
43,0.8403575420379639,138.1188201904297,41.82521057128906,101.325,0.0,1.0,1.0,101.66486358642578,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.131584167480469,17.01856803894043,0.002682209014892578,0.0,-0.04891157150268555,-0.07646679878234863
44,0.8603579998016357,138.11631774902344,41.844051361083984,101.325,0.0,1.0,1.0,101.5650863647461,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.132299423217773,17.021024703979492,0.002682209014892578,0.0,-0.04878044128417969,-0.07689595222473145
45,0.8803584575653076,138.15005493164062,41.88949203491211,101.325,0.0,1.0,1.0,101.38245391845703,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13325309753418,17.02481460571289,0.002682209014892578,0.0,-0.04891157150268555,-0.07688403129577637
46,0.9003643989562988,137.9599151611328,41.94697189331055,101.325,0.0,1.0,1.0,101.3329849243164,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.134385108947754,17.02915382385254,0.002682209014892578,0.0,-0.04888772964477539,-0.07685422897338867
47,0.9203448295593262,137.9549102783203,41.942771911621094,101.325,0.0,1.0,1.0,101.5567398071289,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.135589599609375,17.03363609313965,0.002682209014892578,0.0,-0.048989057540893555,-0.07637143135070801
48,0.9403409957885742,138.1002197265625,41.94468307495117,101.325,0.0,1.0,1.0,101.8251953125,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13686466217041,17.03841781616211,0.002682209014892578,0.0,-0.04902482032775879,-0.07584095001220703
49,0.960294246673584,138.09844970703125,41.95820617675781,101.325,0.0,1.0,1.0,101.69371032714844,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.138175964355469,17.043231964111328,0.002682209014892578,0.0,-0.04894137382507324,-0.07610321044921875
