seq,time,pos_press,neg_press,act_pos_ref,act_neg_ref,pos_ctrl,neg_ctrl,act_pos_press,act_neg_press,act_pos_ctrl1,act_pos_ctrl2,act_neg_ctrl1,act_neg_ctrl2,angle,angle_reference,angular_vel,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6,rtt_ms,loop_dt_ms,loop_hz
65,1.280721664428711,314.5238952636719,101.31050109863281,101.32499694824219,0.0,0.929681122303009,0.8781812191009521,102.00520324707031,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.977924346923828,16.62750244140625,0.0,0.0,-0.058591365814208984,-0.0037789344787597656,4.051322,4.784188,209.0218862636669
66,1.3007824420928955,320.9912414550781,101.32324981689453,101.32499694824219,0.0,0.9297600984573364,1.0,101.72804260253906,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.937856674194336,16.624652862548828,0.0,0.0,-0.058591365814208984,-0.0036537647247314453,4.444073,5.097075,196.19095265421834
67,1.3207793235778809,321.26031494140625,101.33380889892578,101.32499694824219,0.0,0.929839015007019,1.0,101.54374694824219,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.89979362487793,16.62228012084961,0.0,0.0,-0.058591365814208984,-0.0035881996154785156,4.221438,5.059732,197.63892633048548
68,1.3407108783721924,318.0815734863281,101.3338623046875,101.32499694824219,0.0,0.9299179315567017,0.8500000238418579,101.69538116455078,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.86307716369629,16.620372772216797,0.0,0.0,-0.058591365814208984,-0.003522634506225586,3.905808,4.642086,215.42039505515407
69,1.3605241775512695,318.33001708984375,101.29530334472656,101.32499694824219,0.0,0.9299963116645813,0.9437726736068726,101.98863220214844,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.827743530273438,16.618860244750977,0.0,0.0,-0.058591365814208984,-0.003713369369506836,4.675858,5.221273,191.52417427703932
70,1.3804662227630615,317.73406982421875,101.3085708618164,101.32499694824219,0.0,0.9300752282142639,1.0,102.04359436035156,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.794841766357422,16.617870330810547,0.0,0.0,-0.058591365814208984,-0.003522634506225586,4.458458,4.982481,200.7032239560974
71,1.40055251121521,315.693115234375,101.33271789550781,101.32499694824219,0.0,0.9301539063453674,1.0,101.79026794433594,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.765396118164062,16.617488861083984,0.0,0.0,-0.058591365814208984,-0.0034928321838378906,4.410279,4.977494,200.9043104823431
72,1.4205453395843506,312.79022216796875,101.34471893310547,101.32499694824219,0.0,0.9302328824996948,0.8611839413642883,101.68154907226562,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.737503051757812,16.617942810058594,0.0,0.0,-0.058591365814208984,-0.0036597251892089844,5.013689,5.4287,184.20616353823198
73,1.4406330585479736,314.34710693359375,101.33890533447266,101.32499694824219,0.0,0.9303115010261536,0.8500000238418579,101.65353393554688,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.711633682250977,16.61859703063965,0.0,0.0,-0.058591365814208984,-0.0034868717193603516,4.014338,4.766214,209.81013441696072
74,1.4606633186340332,318.561767578125,101.304443359375,101.32499694824219,0.0,0.9303901195526123,1.0,101.99972534179688,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.687946319580078,16.61932373046875,0.0,0.0,-0.058591365814208984,-0.0035881996154785156,4.670329,5.296686,188.7972970268579
75,1.480607271194458,321.2459716796875,101.29125213623047,101.32499694824219,0.0,0.9304683804512024,0.962335467338562,102.0043716430664,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.666404724121094,16.620147705078125,0.0,0.0,-0.058591365814208984,-0.003796815872192383,4.220005,4.81044,207.88119174129602
76,1.5006697177886963,320.33428955078125,101.31031799316406,101.32499694824219,0.0,0.9305467009544373,0.8500000238418579,101.79229736328125,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.647010803222656,16.621124267578125,0.0,0.0,-0.058591365814208984,-0.003796815872192383,4.245416,4.93603,202.59196155614939
77,1.5207550525665283,319.83251953125,101.33563995361328,101.32499694824219,0.0,0.9306248426437378,0.9176689982414246,101.3919906616211,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.628520965576172,16.622114181518555,0.0,0.0,-0.058591365814208984,-0.003725290298461914,4.430876,5.074407,197.0673617626651
78,1.54079008102417,319.2007141113281,101.32262420654297,101.32499694824219,0.0,0.930702805519104,1.0,101.66522216796875,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.610580444335938,16.62322235107422,0.0,0.0,-0.058591365814208984,-0.003993511199951172,4.238392,4.852702,206.07076222689957
79,1.56064772605896,317.61346435546875,101.30656433105469,101.32499694824219,0.0,0.930780291557312,1.0,102.02058410644531,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.59343719482422,16.62430763244629,0.0,0.0,-0.058591365814208984,-0.0040531158447265625,4.383661,4.987504,200.501092329951
80,1.5806324481964111,314.66754150390625,101.29288482666016,101.32499694824219,0.0,0.9308579564094543,1.0,102.05074310302734,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.576820373535156,16.625404357910156,0.0,0.0,-0.058591365814208984,-0.004309415817260742,4.535441,5.104108,195.92061923454597
81,1.6006684303283691,311.7913818359375,101.32266235351562,101.32499694824219,0.0,0.9309354424476624,0.8500000238418579,101.64984130859375,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.561309814453125,16.626501083374023,0.0,0.0,-0.058591365814208984,-0.0043392181396484375,4.180302,4.854785,205.98234525318836
82,1.6206767559051514,314.4420166015625,101.33919525146484,101.32499694824219,0.0,0.9310126304626465,0.8977743983268738,101.5059585571289,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.547304153442383,16.627586364746094,0.0,0.0,-0.058591365814208984,-0.004220008850097656,4.229615,4.988048,200.47922554073256
83,1.640723466873169,320.6065673828125,101.32064056396484,101.32499694824219,0.0,0.9310895800590515,1.0,101.57485961914062,101.32499694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53485870361328,16.62868309020996,0.0,0.0,-0.058591365814208984,-0.003826618194580078,4.33144,5.072936,197.1245054146159
